damnumber,dam_name,aviation,gap_status,hazardous_waste,hospitals,ng_pipelines,power_plants,railroads,svi_tracts,transportation,wwtp
UT00002,Adams,0,0.0,0,0,0.0,0,0.2,2142832.9,2.7,0
UT00010,Ash Creek,0,1830141.7,0,0,0.0,0,0.0,21207545.4,3.9,0
UT00024,Box Creek - Lower (Beaver Creek),0,0.0,0,0,0.0,0,0.0,2037377.6,0.0,0
UT00025,Box Creek - Upper (Beaver Creek),0,0.0,0,0,0.0,0,0.0,2353544.0,0.0,0
UT00034,Big East,0,0.0,0,0,0.0,0,0.0,2997094.9,0.0,0
UT00039,Kennecott Mine Bingham Creek,1,34856.9,0,1,0.1,0,4.6,9814399.3,0.0,0
UT00041,Birch Creek No. 2,0,0.0,0,0,6.3,0,0.0,15658723.3,0.0,0
UT00043,Blanding City No. 4,0,0.0,0,0,0.0,0,0.0,800335.1,0.0,0
UT00044,Blue Creek,0,43318.6,0,0,0.3,0,0.0,14165124.5,0.0,0
UT00052,Boyer Lake,0,0.0,0,0,3.8,0,0.0,10624822.8,0.0,0
UT00056,,0,3372.0,0,0,0.0,0,0.0,4611624.3,0.0,0
UT00058,Bullock Draw,0,0.0,0,0,0.0,0,0.0,5661660.1,0.0,0
UT00061,Calder (Zelph),0,2030109.9,0,0,0.1,0,0.0,2772590.7,0.0,0
UT00063,Haights Creek (Upper),0,0.0,0,0,0.0,0,0.0,230677.1,0.0,0
UT00064,Center Creek No. 1,1,0.0,0,1,0.0,0,0.2,8232661.0,0.0,0
UT00065,Center Creek No. 2,1,0.0,0,1,0.0,0,0.2,8086056.8,0.0,0
UT00066,Center Creek No. 3,1,0.0,0,1,0.0,0,0.2,8145293.8,0.0,0
UT00069,Chepeta Lake,0,0.0,0,0,0.0,0,0.0,40285791.7,0.0,0
UT00071,Cleveland,0,0.0,0,0,0.3,0,0.0,13812868.4,0.0,0
UT00072,Cliff Lake (Duchesne),0,55615.3,0,0,0.0,0,0.0,100537027.3,0.0,0
UT00079,Cutler,0,1911242.2,0,0,1.4,0,2.0,45988837.0,3.2,0
UT00080,Dmad,0,81357.9,0,0,0.0,0,14.2,581884363.2,0.0,0
UT00088,Deer Valley,0,0.0,0,0,0.0,1,0.0,4677498.5,0.0,0
UT00089,Dejarnatt,0,43318.6,0,0,0.3,0,0.0,14847641.1,0.0,0
UT00090,Salt Lake Co.-Big Cottonwood (Spencer`S),0,0.0,0,1,0.0,0,1.2,9422659.7,2.9,756
UT00093,,0,0.0,0,0,0.1,0,0.0,2791553.9,0.0,0
UT00095,Duck Fork,0,0.0,0,0,0.0,0,0.0,1629555.3,0.0,0
UT00098,East Park,0,0.0,0,0,0.2,0,0.0,6180346.0,0.0,0
UT00099,,0,454675.1,0,0,0.0,0,0.0,646576.7,0.0,0
